,input,reasoning,label
3955,"Sandra had 2 different bags of candy.  Each of her bags had 6 pieces of candy left.  Her brother, Roger, also had 2 bags of candy.  One of his bags of candy had 11 pieces left and the other had 3 pieces left.  How much more candy did Roger have?","Sandra had 2 bags that each contained 6 pieces of candy so 2*6 = <<2*6=12>>12 pieces
Roger had 11 pieces of candy in one bag and 3 pieces in the other so 11+3 = <<11+3=14>>14 pieces
Roger had 14 pieces and Sandra had 12 pieces so Roger has 14-12 = <<14-12=2>>2 more pieces of candy
#### 2",2
2540,"Three years ago, Rosie purchased an art piece for $4000. The same art piece will be three times as much in another three years. How much money will the art piece have increased by?","If the art piece was bought at $4000, and its price in three years will be three times its buying price, it will be worth 3*$4000 = $12000 in another three years.
The price of the art piece will increase by $12000-$4000 = $<<12000-4000=8000>>8000
#### 8000",8000
5661,The civic league was hosting a pancake breakfast fundraiser.  A stack of pancakes was $4.00 and you could add bacon for $2.00.  They sold 60 stacks of pancakes and 90 slices of bacon.  How much did they raise?,"The pancakes were $4.00 a stack and they sold 60 stacks for a total of 4*60 = $<<4*60=240.00>>240.00
The bacon was $2.00 a slice and they sold 90 slices for a total of 2*90 = $<<2*90=180.00>>180.00
They sold $240 in pancakes and $180 in bacon for a total of 240+180 = $<<240+180=420.00>>420.00
#### 420",420
5921,"Freddy is calling his family on New Year's Eve. He calls his dad, who lives in the same city as him, and they talk for 45 minutes. Then he calls his brother, who lives on the other side of the world, and they talk for 31 minutes. Local calls cost 5 cents a minute, while international calls cost 25 cents a minute. How many dollars did Freddy spend calling his family on New Year's Eve?","At 5 cents a minute, calling his father cost Freddy 5* 45 = <<5*45=225>>225 cents.
At 25 cents a minute, calling his brother cost Freddy 25 * 31 = <<25*31=775>>775 cents.
Adding the cost of calling his father and brother, we find that Freddy paid a total of 225 + 775 = <<225+775=1000>>1000 cents.
Since each dollar has 100 cents, Freddy paid 1000 / 100 = <<1000/100=10>>10 dollars
#### 10",10
132,James buys 5 packs of beef that are 4 pounds each.  The price of beef is $5.50 per pound.  How much did he pay?,"He bought 5*4=<<5*4=20>>20 pounds of beef
So he paid 20*5.5=$<<20*5.5=110>>110
#### 110",110
1084,"If Billy and Jenny each order a $20 steak along with a $5 drink, how much will Billy have to pay in tips if he wants to cover 80% of a 20% tip for the two of them?","First, we figure out the price per meal by adding the steak and the drink together, finding a cost of 20+5=<<20+5=25>>25 per meal.
Then we multiply this by 2, as there are two people eating, meaning a total cost of 25*2=<<25*2=50>>50 for both meals.
Then we find the total tip amount for a 20% tip, by multiplying 50*.2= 10.
Then we find out what 80% of this tip amount is by multiplying the desired tip of 10 by .8, finding 10*.8= <<10*.8=8>>8 dollars that Billy should contribute.
#### 8",8
4696,"Two buses leave a pick-up point station with 60% and 70% of capacity full, respectively. If the people in the buses are all employees of a company, and the buses have a capacity of 150, calculate the total number of the employees in the two buses combined?","If the first bus is 60% full, it has 60/100*150 = <<60/100*150=90>>90 passengers.
The second bus is 70% full, meaning it has 70/100*150 = <<70/100*150=105>>105 passengers.
The total number of people in the two buses is 105+90 = <<105+90=195>>195
#### 195",195
169,Borris liquor store uses 90 kilograms of grapes every 6 months. He is thinking of increasing his production by twenty percent. How many grapes does he need in a year after increasing his production?,"Borris uses 90 x 2 = <<90*2=180>>180 kilograms of grapes per year.
The increase of kilograms of grapes he needed per year is 180 x 0.20 = <<180*0.20=36>>36.
Therefore, Borris needs 180 + 36 = <<180+36=216>>216 kilograms of grapes in a year.
#### 216",216
465,"A man is returning home from work and trying to decide which route to take.  His first route option includes 3 stoplights.  This route will take him 10 minutes if all three lights are green, but each light that is red will add 3 minutes to the trip.  The second route does not include any stoplights and takes 14 minutes.  If the man chooses the first route, how much longer will his trip be if all 3 stoplights are red?","If all 3 stoplights are red, the first route will take 10 + 3*3 = <<10+3*3=19>>19 minutes.
Thus, the first route will take 19-14 = <<19-14=5>>5 minutes longer than the second route.
#### 5",5
468,"A shopping center sells T-shirts at $8 each, a sweater at $18,  and a jacket at $80. The jacket is on sale with a 10% discount. The sales tax is 5%.  Kevin wants to buy six T-shirts, four sweaters, and five jackets for his children. How much does Kevin have to pay for all the items, including the sales tax?","The six T-shirts cost 6 x $8 = $<<6*8=48>>48.
The four sweaters cost 4 x $18 = $<<4*18=72>>72.
And five jackets normally cost 5 x $80 = $<<5*80=400>>400.
So, a discount of 10/100 x $400 = $<<10/100*400=40>>40 for the five jackets.
Thus, the selling price of the five jackets is $400 - $40 = $<<400-40=360>>360.
Hence, the total cost of all the items is $48 + $72 + $360 = $<<48+72+360=480>>480.
The sales tax is equal to 5/100 x $480 = $<<5/100*480=24>>24.
Therefore, Kevin has to pay $480 + $24 = $<<480+24=504>>504. including the sales tax.
#### 504",504
5328,"Mona plays a multiplayer video game on the weekends. She joins groups with four other players to complete objectives in the game. The past weekend, she joined 9 groups. One of the groups included two players she had grouped with before that weekend, and another group included one person she had grouped with before. How many unique players did Mona group with on the video game that weekend?","Mona joined 9 groups, so she played with 9 * 4 = <<9*4=36>>36 people.
She grouped with 2 + 1 = <<2+1=3>>3 people twice.
Thus, she played with 36 - 3 = <<36-3=33>>33 unique players that weekend.
#### 33",33
457,"Fiona completed 36 math questions in an hour. Shirley was able to complete twice as many math questions within that same time, and Kiana completed half of the sum of Fiona and Shirley's math questions. If they each did the same number of questions the following hour, how many math questions did all three girls complete in 2 hours?","Shirley completed 36 x 2 = <<36*2=72>>72 questions
The sum of Fiona and Shirley's questions is 36 + 72 = <<36+72=108>>108
Kiana completed 108/2 = <<108/2=54>>54 questions
In one hour, they completed 108 +54 = <<108+54=162>>162 questions.
In two hours, they completed 162 x 2 = <<162*2=324>>324 questions.
#### 324",324
6093,"During my workout yesterday, I did 30 squats. Each day, I plan to increase my number of squats by 5 more than the previous day. If I do my workout for four consecutive days, how many squats will I perform the day after tomorrow?","Today, I will perform 30 + 5 = <<30+5=35>>35 squats.
Tomorrow, I will perform 35 + 5 = <<35+5=40>>40 squats.
So the day after tomorrow, I will perform 40 + 5 = <<40+5=45>>45 squats.
#### 45",45
6280,"Janet buys a multi-flavor pack of cheese sticks. 15 of the sticks are cheddar, 30 are mozzarella, and 45 are pepperjack. If Janet picks a cheese stick at random, what is the percentage chance it will be pepperjack?","First find the total number of cheesesticks: 15 cheddar + 30 mozzarella + 45 pepperjack = <<15+30+45=90>>90 cheese sticks
Then divide the number of pepperjack sticks by the total number of cheese sticks and multiply by 100% to express the answer as a percentage: 45 pepperjack sticks / 90 cheese sticks * 100% = 50%
#### 50",50
6637,"If eight liters is 20% the capacity of a container filled with water, calculate the total capacity of 40 such containers filled with water.","If eight liters is 20% the capacity of a container filled with water, when the container is full, which is 100%, the container will contain 100%/20% * 8 liters= 40 liters.
The total capacity of 40 such containers filled with water is 40*40 = <<40*40=1600>>1600 liters
#### 1600",1600
3685,"85 paper stars are required to fill a glass jar. Luke has already made 33 stars, but he needs to fill 4 bottles. How many more stars must Luke make?","Luke must make 85 x 4 = <<85*4=340>>340 stars in total.
He needs to make another 340 - 33 = <<340-33=307>>307 stars.
#### 307",307
3143,"Amy is collecting candy for the car pool. She has 5 chocolate bars, 7 times as many M&Ms as chocolate bars, and 6 times as many marshmallows as M&Ms. Amy then arranges the candies into baskets. If she fills each basket with 10 candies, how many baskets will Amy fill?","Amy has 5*7=<<5*7=35>>35 M&Ms.
Amy has 35*6=<<35*6=210>>210 marshmallows.
Amy has 5+35+210=<<5+35+210=250>>250 candies.
She fills 250/10=<<250/10=25>>25 baskets.
#### 25",25
1022,"Rachel is 4 years older than Leah. If the sum of their ages is 34, how old is Rachel?","If Rachel and Leah have the same age, then the sum of their ages would be 34 - 4 = <<34-4=30>>30.
So Leah would be 30/2 = <<30/2=15>>15 years old.
Hence, Rachel is 15 + 4 = <<15+4=19>>19 years old.
#### 19",19
2942,"Gunther just financed a John Deere tractor through the dealership.  If his monthly payment is $150.00 a month, for 5 years, with no interest, how much did he finance the tractor for?","There are 12 months in 1 year and his loan is for 5 years so that's 12*5 = <<12*5=60>>60 months
His monthly payment is $150.00 and he pays this for 60 months so his loan for the tractor was 150*60 = $<<150*60=9000.00>>9,000.00
#### 9000",9000
3043,Mark started the day with 14 buttons. His friend Shane gave him 3 times that amount of buttons. Then his other friend Sam asked if he could have half of Mark’s buttons. How many buttons did Mark end up with?,"Shane gave Mark 14*3=<<14*3=42>>42 buttons
After that Mark had 42+14=<<42+14=56>>56 buttons
Then Mark gave 56/2=<<56/2=28>>28 buttons to Shane
Which left Mark with 28 buttons
#### 28",28
4789,"Since it is Maurice's turn to host this year’s neighborhood cookout, he goes to the local wholesale club to buy ground beef. The wholesale club sells ground beef in 5-pound packages. Maurice wants to make one 2-pound burger for each person that attends, so he purchases 4 packages of ground beef. How many people can Maurice invite to the cookout so that everybody, including himself, gets a burger?","Maurice buys 4 * 5 = <<4*5=20>>20 pounds of ground beef.
If 2 pounds of ground beef make a burger, then he can make 20/2 = 10 burgers.
Given that Maurice will have 1 burger, he can invite 10-1 = <<10-1=9>>9 people
#### 9",9
4634,Cassandra collected 5000 pennies for the charity drive. James collected 276 fewer pennies. How many pennies did they donate to charity?,"James has 5000 - 276 = <<5000-276=4724>>4724 pennies.
They donated a total of 5000 + 4724 = <<5000+4724=9724>>9724 pennies.
#### 9724",9724
230,"Emery and Serena go to their school library, and each borrows a copy of The life of Jack Steve's book to read for their school project. If Emery can read five times as fast as Serena, and the book takes her 20 days to read, what's the average number of days the two take to read the book?","If Emery took twenty days to read the book, then it took Serena 5*20 = <<20*5=100>>100 days to read the whole book.
The total number of days taken by the two to read the book is 100+20 = <<100+20=120>>120 days.
The average number of days the two take to read the book is 120/2 = <<120/2=60>>60 days.
#### 60",60
7048,"A band's members each earn $20 per gig. If there are 4 members and they've earned $400, how many gigs have they played?","The band earns $80 per gig because 4 x 20 = <<4*20=80>>80
They played 5 gigs because 400 / 80 = <<400/80=5>>5
#### 5",5
1656,"Holly wants to plant a wall of privacy trees along her fence line.  Her fence is 25 yards long.  At maturity, the trees she wants to plant will measure 1.5 feet wide.  Right now, these trees are on sale for $8.00 apiece.  How much will it cost her to plant a row of the trees to run the length of her fence?","3 feet are in 1 yard and her fence is 25 yards long so her fence is 3*25 = <<3*25=75>>75 feet long
At maturity these trees will measure 1.5 feet and she needs them to run along her 75-foot fence so she needs 75/1.5 = <<75/1.5=50>>50 trees
The trees cost $8.00 apiece and she needs 50 so 8*50 = $<<8*50=400.00>>400.00 worth of trees
#### 400",400
4100,"A 26-mile circular marathon has four checkpoints inside it. The first is one mile from the start line, and the last checkpoint is one mile from the finish line. The checkpoints have equal spacing between them. How many miles apart are each of the consecutive checkpoints between the start-finish line?","The checkpoints are 1 mile from the start and finish, so they are spaced along 26 - 1 - 1 = 24 miles.
There are 4 equally spaced checkpoints, so the checkpoints are 24 / 4 = <<24/4=6>>6 miles apart.
#### 6",6
3357,James buys 100 tennis balls and gives half of them away.  The other half he puts into 5 large containers.  How many tennis balls go in each container?,"He keeps 100/2=<<100/2=50>>50 tennis balls
So 50/5=<<50/5=10>>10 go in each container
#### 10",10
5863,"Mary is making a spinach quiche. She takes 40 ounces of raw spinach and cooks it until it's 20% of its initial volume. If she mixes the spinach with 6 ounces of cream cheese and 4 ounces of eggs, what is the total volume of the quiche?","First find the cooked volume of the spinach: 40 ounces * 20% = <<40*20*.01=8>>8 ounces
Then add that to the volume of the other ingredients to find the total volume: 8 ounces + 6 ounces + 4 ounces = <<8+6+4=18>>18 ounces
#### 18",18
6032,Nadine went to a garage sale and spent $56. She bought a table for $34 and 2 chairs. Each chair cost the same amount. How much did one chair cost?,"Nadine spent $56 - $34 for the table = $<<56-34=22>>22 on chairs.
The cost of the chairs was equal, so one chair cost $22 / 2 = $<<22/2=11>>11.
#### 11",11
6941,"Last Sunday, Logan went to church and realized that the number of children present was 80. If there were 60 male adults, and the total number of people in the church was 200, how many female adults were present?","The total number of male adults and children is 80+60 = <<80+60=140>>140 people.
The number of females is 200-140 = <<200-140=60>>60 female adults.
#### 60",60
1172,"Colbert is building a treehouse out of wooden planks. The treehouse needs 200 wooden planks. A quarter of these planks come from Colbert’s storage, half of these planks come from Colbert’s parents, 20 planks come from Colbert’s friends and he buys the rest from the store. How many planks of wood does he need to buy from the store to finish his treehouse?","In Colbert’s storage, there are 200 wooden planks / 4 = <<200/4=50>>50 wooden planks.
From his parents, there are 200 wooden planks / 2 = <<200/2=100>>100 wooden planks.
So in total, Colbert has not had to buy 50 wooden planks from storage + 100 wooden planks from his parents + 20 wooden planks from his friends = <<50+100+20=170>>170 wooden planks.
He therefore still needs to buy 200 needed wooden planks – 170 owned wooden planks = <<200-170=30>>30 wooden planks.
#### 30",30
4046,"Sam earns $10 an hour on Math tutoring. For the first month, he earned $200; and for the second month, he earned $150 more than the first month. How many hours did he spend on tutoring for two months?","For the second month, Sam earned $200 + $150 = $<<200+150=350>>350.
So, he earned a total of $200 +$350 = $<<200+350=550>>550 for the first two months.
Therefore, he spent $550/$10 = <<550/10=55>>55 hours on math tutoring for the first two months
#### 55",55
1002,"Carmen needs $7 more to have twice the amount of money that Jethro has. Meanwhile, Patricia has $60, which is 3 times as much as Jethro. What is the sum of all their money?","Jethro has 60/3 = $<<60/3=20>>20.
Twice of what Jethro has is $20 x 2 = $40
Carmen has $40 - 7 = $<<40-7=33>>33
The sum of all their money is $60 + $20 + $33 = $<<60+20+33=113>>113
#### 113",113
2432,"Annie brought 20 brownies to school.  She gave half of them to the school administrator to put in the faculty lounge.  Of the remaining brownies, she gave half to her best friend, Carl, and another two to her friend, Simon.  How many brownies did she have left?","She first gave away half of her 20 brownies, or 20/2=<<20/2=10>>10 brownies, to the faculty.
The remaining brownies number 20-10=<<20-10=10>>10 brownies.
She gave half of these remaining brownies, or 10/2=<<10/2=5>>5 brownies, to Carl.
This reduced her number from 10 down to 10-5=<<10-5=5>>5 brownies.
Finally, she gave away another 2, leaving her with 5-2=<<5-2=3>>3 brownies.
#### 3",3
4180,"Maria buys a large bar of French soap that lasts her for 2 months.  She spends $8.00 per bar of soap.  If she wants to stock up for the entire year, how much will she spend on soap?","1 bar of soap will last for 2 months and there are 12 months in 1 year so she needs 12/2 = 6 bars of soap
Each bar of soap is $8.00 and she needs 6 bars so that's a total of 8*6 = $<<8*6=48.00>>48.00
#### 48",48
1835,Teagan saved 200 pennies in her piggy bank.  Rex has a mason jar filled with 100 nickels.  Toni has 330 dimes stashed inside a giant mug.  How much money did the three kids save altogether?,"Teagan saved 1 cent (.01) x 200 = $2.
Rex has 5 cents (.05) x 100 = $5.
Toni has 10 cents (.10) x 330 = $33.
Together, the three kids saved $2 + $5 + $33 = $<<2+5+33=40>>40.
#### 40",40
3442,"Gary has 6 pounds of flour. He will use 4 pounds of flour to make cakes which require 0.5 pounds of flour each. The remaining 2 pounds of flour will be used to bake cupcakes, which require 1/5 pounds of flour. He plans to sell the cakes for $2.5 each and the cupcakes for $1 each in the school's bake sale. How much will Gary earn?","Gary can bake 4/0.5 = <<4/0.5=8>>8 cakes from the 4 pounds of flour.
He can bake 2/ 1/5 = 10 cupcakes from the 2 pounds of flour.
So, he will earn $2.5 x 8 = $<<2.5*8=20>>20 from the cakes.
Hence, Gary will earn a total of $20 + $10 = $<<30=30>>30 from baking 8 cakes and 10 cupcakes.
#### 30",30
